record_id,province_name,subSgName,sggname,hbjname,jdname,doc_type,current_download_url,local_pdf,download_status,bytes,error,markdown_path,extract_status,pages,chars,extract_error,extraction_method,quality_flag
420260603-4100-수원시-100162275-1-선거공보,경기도,구·시·군의 장선거,수원시,정희윤,개혁신당,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%88%98%EC%9B%90%EC%8B%9C_%EC%A0%95%ED%9D%AC%EC%9C%A4_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4103/003_100162275_20260525_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-4100-수원시-100162275-1-선거공보.pdf,downloaded,280822,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-4100-수원시-100162275-1-선거공보.md,ok,1,9,,pymupdf,suspiciously_short_text
420260603-4100-평택시-100153870-1-선거공보,경기도,구·시·군의 장선거,평택시,최원용,더불어민주당,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%ED%8F%89%ED%83%9D%EC%8B%9C_%EC%B5%9C%EC%9B%90%EC%9A%A9_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/4115/003_100153870_20260525_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-4100-평택시-100153870-1-선거공보.pdf,downloaded,1693038,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-4100-평택시-100153870-1-선거공보.md,ok,12,9230,,pymupdf,ok
420260603-5200-양양군-100158374-1-선거공보,강원특별자치도,구·시·군의 장선거,양양군,김정중,더불어민주당,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%96%91%EC%96%91%EA%B5%B0_%EA%B9%80%EC%A0%95%EC%A4%91_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5210/003_100158374_20260521_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5200-양양군-100158374-1-선거공보.pdf,downloaded,15054221,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5200-양양군-100158374-1-선거공보.md,ok,12,6545,,pymupdf,ok
420260603-5200-양양군-100158425-1-선거공보,강원특별자치도,구·시·군의 장선거,양양군,김호열,국민의힘,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%96%91%EC%96%91%EA%B5%B0_%EA%B9%80%ED%98%B8%EC%97%B4_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5210/003_100158425_20260521_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5200-양양군-100158425-1-선거공보.pdf,downloaded,2459372,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5200-양양군-100158425-1-선거공보.md,ok,12,5512,,pymupdf,ok
420260603-5200-양양군-100158425-2-선거공약서,강원특별자치도,구·시·군의 장선거,양양군,김호열,국민의힘,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%96%91%EC%96%91%EA%B5%B0_%EA%B9%80%ED%98%B8%EC%97%B4_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/5210/004_100158425_20260522_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5200-양양군-100158425-2-선거공약서.pdf,downloaded,439329,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5200-양양군-100158425-2-선거공약서.md,ok,2,3313,,pymupdf,ok
420260603-5200-양양군-100158565-1-선거공보,강원특별자치도,구·시·군의 장선거,양양군,고제철,무소속,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%96%91%EC%96%91%EA%B5%B0_%EA%B3%A0%EC%A0%9C%EC%B2%A0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5210/003_100158565_20260521_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5200-양양군-100158565-1-선거공보.pdf,downloaded,6244249,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5200-양양군-100158565-1-선거공보.md,ok,12,4427,,pymupdf,ok
420260603-5300-정읍시-100163655-1-선거공보,전북특별자치도,구·시·군의 장선거,정읍시,이학수,더불어민주당,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%95%EC%9D%8D%EC%8B%9C_%EC%9D%B4%ED%95%99%EC%88%98_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5307/003_100163655_20260524_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5300-정읍시-100163655-1-선거공보.pdf,downloaded,5851086,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5300-정읍시-100163655-1-선거공보.md,ok,12,6308,,pymupdf,ok
420260603-5300-정읍시-100156163-1-선거공보,전북특별자치도,구·시·군의 장선거,정읍시,김민영,조국혁신당,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%95%EC%9D%8D%EC%8B%9C_%EA%B9%80%EB%AF%BC%EC%98%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5307/003_100156163_20260524_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5300-정읍시-100156163-1-선거공보.pdf,downloaded,2612553,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5300-정읍시-100156163-1-선거공보.md,ok,12,5276,,pymupdf,ok
420260603-5300-정읍시-100154602-1-선거공보,전북특별자치도,구·시·군의 장선거,정읍시,김재선,무소속,선거공보,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EC%A0%95%EC%9D%8D%EC%8B%9C_%EA%B9%80%EC%9E%AC%EC%84%A0_%EC%84%A0%EA%B1%B0%EA%B3%B5%EB%B3%B4.pdf&requestedFullPath=20260603/PDF/PBINFO/5307/003_100154602_20260524_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5300-정읍시-100154602-1-선거공보.pdf,downloaded,1197086,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5300-정읍시-100154602-1-선거공보.md,ok,4,5846,,pymupdf,ok
420260603-5300-고창군-100159114-2-선거공약서,전북특별자치도,구·시·군의 장선거,고창군,유기상,조국혁신당,선거공약서,https://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=20260603_%EA%B3%A0%EC%B0%BD%EA%B5%B0_%EC%9C%A0%EA%B8%B0%EC%83%81_%EC%84%A0%EA%B1%B0%EA%B3%B5%EC%95%BD%EC%84%9C.pdf&requestedFullPath=20260603/PDF/PRMS_DOC_PUB/5316/004_100159114_20260525_1.pdf,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\documents\420260603-5300-고창군-100159114-2-선거공약서.pdf,downloaded,1537943,,C:\Users\treyl\Documents\Obsidian\Second_Brain\output\nec_2026_local_election_opencrab\github_repo_nec_2026_local_election_opencrab\supplements\official_gap_recovery_2026\direct_nec_downloads\markdown\420260603-5300-고창군-100159114-2-선거공약서.md,ok,12,177,,pymupdf,suspiciously_short_text
